Media,Promoter,Rep,Relative Fluorescence
LB,pLac,Rep1,150296
LB,pLac,Rep2,133373
LB,pLac,Rep3,171785
PBS,pLac,Rep1,134279
PBS,pLac,Rep2,126468
PBS,pLac,Rep3,135700
M9,pLac,Rep1,324362
M9,pLac,Rep2,322581
M9,pLac,Rep3,356618
LB,Low,Rep1,3494438
LB,Low,Rep2,3344158
LB,Low,Rep3,3529532
PBS,Low,Rep1,2219636
PBS,Low,Rep2,2316437
PBS,Low,Rep3,2353105
M9,Low,Rep1,3635857
M9,Low,Rep2,3815698
M9,Low,Rep3,4068647
LB,High,Rep1,21529
LB,High,Rep2,19590
LB,High,Rep3,13080
PBS,High,Rep1,42184
PBS,High,Rep2,33398
PBS,High,Rep3,40620
M9,High,Rep1,147936
M9,High,Rep2,115504
M9,High,Rep3,133192
